sex,TL
F,680
F,690
M,710
F,710
F,725.728
F,730
F,740
F,740
F,740
M,742.283
M,742.283
F,742.283
M,747.331
F,750
F,750.5605
F,758.838
F,758.838
M,758.838
M,758.838
M,759.589
F,760
F,770
F,771.847
F,775.393
F,775.393
F,775.393
F,775.393
M,775.393
F,778.704
F,780
F,784.105
F,790
M,790.2925
M,790.2925
M,791.948
F,791.948
M,791.948
M,791.948
,808.503
M,808.503
F,808.503
F,808.503
F,811.814
F,816.7805
F,818.436
F,820
M,820
M,825.058
M,825.058
M,825.058
M,825.058
F,830
F,840
F,840
F,841.613
F,841.613
F,841.613
F,841.613
M,841.613
M,841.613
F,845.395
M,850
M,857.653
F,858.168
M,858.168
F,858.168
F,858.168
,858.168
F,858.168
F,858.168
F,858.168
F,858.168
F,858.168
M,858.168
M ,858.168
F,858.168
M,858.168
M,860
F,860
M,860
F,860
M,870
F,870
M,870
M,870
F,870
M,870
M,870
F,874.723
F,874.723
F,874.723
M,874.723
F,874.723
M,874.723
F,874.723
M,874.723
F,874.723
F,874.723
F,880
M,880
F,880
F,880
M,880
M,880
M,880
F,890
M,890
M,890
F,891.278
M,891.278
F,891.278
F,891.278
F,891.278
F,891.278
M,891.278
M,891.278
F,891.278
M,891.278
M ,891.278
F,891.278
F,891.278
F,891.278
Unknown,891.278
F,894.427
M,894.427
M,899.5555
F,900
M,900
F,900
M,900
M,900
F,907.833
M,907.833
F,907.833
M,910
F,910
M,910
M,910
F,910
F,910
F,910
,916.1105
M,918.943
F,918.943
M,920
M,920
M,920
F,924.388
M,924.388
M,924.388
F,924.388
F,924.388
Unknown,924.388
F,930
F,931.201
M,931.201
F,931.201
M,932.6655
M,940
F,940.943
M,940.943
F,940.943
F,940.943
F,940.943
M,940.943
M,943.459
M,943.459
M,946.516
Unknown,949
F,949.2205
F,950
M,950
M,950
M,950
M,950
M,950
F,950
F,950
F,950
M,955.717
F,957.498
F,957.498
F,957.498
M,957.498
F,957.498
F,957.498
M,957.498
M,957.498
F,959.1535
F,960
Unknown,960
M,960
M,960
M,960
F,960
F,960
F,960
M,960
M,960.161
F,962.4645
M,967.975
M,970
F,970
M,970
M,970
F,970
F,970
F,970
F,970
F,974.053
F,974.053
F,974.053
Unknown,974.053
Unknown,974.053
M,974.053
M,974.053
F,974.053
M,974.053
F,980
M,980
M,980
M,980
M,980
F,980
M,980
M,980
F,980
M,980.233
M,982.3305
Unknown,987
M,990
F,990
F,990
M,990
,990.608
F,990.608
F,990.608
F,990.608
M,990.608
F,990.608
F,990.608
M,990.608
F,990.608
M,990.608
F,990.608
F,990.608
F,990.608
M,990.608
M,992.491
M,1000
F,1000
M,1000
F,1000
F,1007.163
F,1007.163
F,1007.163
F,1007.163
M,1007.163
F,1007.163
F,1007.163
F,1007.163
F,1007.163
M,1007.163
F,1007.163
F,1010
M,1010
M,1010
M,1010
F,1010
F,1010
F,1010
M,1010
F,1017.007
F,1020
M,1020
F,1020
F,1020
F,1020
M,1020
,1023.718
F,1023.718
M,1023.718
M,1023.718
F,1023.718
M ,1023.718
F,1023.718
F,1029.265
F,1029.265
M,1030
M,1030
F,1030
F,1030
F,1030
M,1030
F,1031.9955
F,1040
M,1040
M,1040
M,1040
M,1040
F,1040.273
F,1040.273
M,1040.273
F,1040.273
F,1040.273
M,1040.273
M,1040.273
F,1040.273
F,1040.273
Unknown,1040.273
F,1041.523
M,1041.523
M,1043.584
F,1050
F,1050
F,1050
M,1050
M,1050
Unknown,1055
M,1056.828
F,1056.828
M,1056.828
M,1056.828
F,1056.828
M,1056.828
F,1056.828
F,1056.828
M,1056.828
M ,1056.828
F,1056.828
F,1060
M,1060
M,1060
M,1060
F,1060
M,1060
F,1060
F,1060
M,1060
F,1060
F,1060
M,1060
M,1060
F,1060
F,1060
F,1063.45
F,1070
M,1070
F,1070
F,1070
M,1070
M,1070
F,1070
F,1070
M,1070
M,1070
Unknown,1070
M,1073.383
F,1073.383
M,1073.383
F,1073.383
M,1073.383
F,1073.383
F,1073.383
F,1073.383
M,1073.383
M,1073.383
F,1078.297
M,1080
F,1080
M,1080
F,1080
M,1080
F,1080
F,1080
M,1080
M,1089.938
F,1089.938
F,1089.938
F,1089.938
M,1089.938
M,1089.938
M,1089.938
M,1089.938
M,1089.938
M,1090
F,1090
F,1090
F,1090
F,1090
F,1090
M,1090
F,1090
M,1090
F,1090
F,1090
F,1090
F,1090
M ,1090.555
M,1090.555
F,1100
F,1100
F,1100
F,1100
F,1100
F,1100
F,1100
M,1100
F,1102.813
M,1102.813
F,1102.813
M,1106.493
M,1106.493
M,1106.493
M,1106.493
M,1110
M,1110
F,1110
M,1110
M,1110
M,1110
M,1110
F,1115.071
M,1120
F,1123.048
,1123.048
M,1123.048
F,1123.048
F,1123.048
F,1123.048
M,1123.048
M,1123.048
F,1123.048
F,1123.048
M,1123.048
F,1127.329
M,1130
M,1130
M,1130
F,1130
